scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight_kg,service_code,parsed_scanned_at,reject_reason
905070,7001519,5051,2026-05-05 13:55:08,99,119,FAILED,"10,09",SDD,2026-05-05 13:55:08,unknown hub
905639,7001673,5073,2026-05-05 12:04:46,9,122,FAILED,,SDD,2026-05-05 12:04:46,missing weight
905786,7001721,5170,2026-05-05 10:42:18,99,133,DELIVERED,15.1,STD,2026-05-05 10:42:18,unknown hub
905210,7001557,5134,2026-05-05 06:07:46,99,101,FAILED,33.24,SDD,2026-05-05 06:07:46,unknown hub
905563,7001649,5076,2026-05-05 11:52:24,4,108,PICKUP,,EXP,2026-05-05 11:52:24,missing weight
905216,7001559,5097,2026-05-05 09:35:22,99,133,FAILED,19.83,SDD,2026-05-05 09:35:22,unknown hub
905923,7001757,5041,2026-05-05 13:59:26,8,131,FAILED,,SDD,2026-05-05 13:59:26,missing weight
905012,7001505,5005,2026-05-05 13:02:05,99,111,ARRIVE,11.62,STD,2026-05-05 13:02:05,unknown hub
905009,7001503,5078,2026-05-05 15:43:18,4,122,ARRIVE,725.03,SDD,2026-05-05 15:43:18,impossible weight
904874,7001460,5050,2026-05-05 18:53:57,99,121,ARRIVE,17.24,EXP,2026-05-05 18:53:57,unknown hub
905770,7001714,5055,2026-05-05 11:55:07,3,135,FAILED,,EXP,2026-05-05 11:55:07,missing weight
905667,7001680,5165,2026-05-05 19:12:32,1,124,ARRIVE,,ECO,2026-05-05 19:12:32,missing weight
905596,7001658,5046,2026-05-05 12:38:54,1,121,DELIVERED,,EXP,2026-05-05 12:38:54,missing weight
905973,7001771,5075,2026-05-05 11:26:24,7,112,DEPART,,EXP,2026-05-05 11:26:24,missing weight
905649,7001673,5102,2026-05-05 19:29:35,4,104,ARRIVE,,SDD,2026-05-05 19:29:35,missing weight
905850,7001741,5091,2026-05-05 11:00:14,2,119,OUT_FOR_DELIVERY,789.81,STD,2026-05-05 11:00:14,impossible weight
905804,7001724,5061,2026-05-05 14:11:49,7,109,DEPART,,EXP,2026-05-05 14:11:49,missing weight
905896,7001750,5058,2026-05-05 16:42:48,5,134,DELIVERED,884.59,SDD,2026-05-05 16:42:48,impossible weight
905767,7001714,5011,2026-05-05 15:03:52,8,104,OUT_FOR_DELIVERY,,ECO,2026-05-05 15:03:52,missing weight
905964,7001768,5044,2026-05-05 12:20:42,2,107,DELIVERED,895.27,EXP,2026-05-05 12:20:42,impossible weight
905318,7001589,5175,2026-05-05 07:16:04,1,120,OUT_FOR_DELIVERY,832.05,ECO,2026-05-05 07:16:04,impossible weight
905110,7001528,5179,2026-05-05 06:31:43,99,140,DEPART,16.66,SDD,2026-05-05 06:31:43,unknown hub
905820,7001729,5020,2026-05-05 10:13:13,1,111,FAILED,,STD,2026-05-05 10:13:13,missing weight
905033,7001513,5048,2026-05-05 19:42:00,3,108,DELIVERED,,ECO,2026-05-05 19:42:00,missing weight
905250,7001572,5015,05/05/2026 06:38,99,104,OUT_FOR_DELIVERY,27.3,SDD,2026-05-05 06:38:00,unknown hub
905758,7001712,5112,2026-05-05 16:06:33,7,130,OUT_FOR_DELIVERY,,STD,2026-05-05 16:06:33,missing weight
905656,7001676,5010,2026-05-05 15:52:44,2,116,PICKUP,331.56,EXP,2026-05-05 15:52:44,impossible weight
905672,7001680,5133,2026-05-05 07:02:37,99,101,DEPART,5.12,SDD,2026-05-05 07:02:37,unknown hub
905859,7001742,5120,2026-05-05 06:37:33,4,125,FAILED,,ECO,2026-05-05 06:37:33,missing weight
905275,7001579,5132,2026-05-05 15:27:08,10,132,FAILED,,ECO,2026-05-05 15:27:08,missing weight
905815,7001728,5118,2026-05-05 12:22:56,99,123,DELIVERED,15.67,SDD,2026-05-05 12:22:56,unknown hub
905454,7001621,5055,2026-05-05 07:59:21,9,109,DELIVERED,,STD,2026-05-05 07:59:21,missing weight
904908,7001472,5006,2026-05-05 20:06:39,10,131,DEPART,,STD,2026-05-05 20:06:39,missing weight
905066,7001519,5061,2026-05-05 14:29:03,10,102,DELIVERED,,ECO,2026-05-05 14:29:03,missing weight
905462,7001624,5187,2026-05-05 14:02:29,5,120,PICKUP,783.04,SDD,2026-05-05 14:02:29,impossible weight
