scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight_kg,service_code,parsed_scanned_at,reject_reason
908481,7002532,5028,2026-05-07 15:54:54,7,131,FAILED,844.33,EXP,2026-05-07 15:54:54,impossible weight
907692,7002291,5114,2026-05-07 08:06:37,2,134,OUT_FOR_DELIVERY,,ECO,2026-05-07 08:06:37,missing weight
907485,7002230,5167,2026-05-07 10:38:33,99,113,PICKUP,13.87,EXP,2026-05-07 10:38:33,unknown hub
908471,7002529,5033,2026-05-07 06:32:54,4,130,DELIVERED,,SDD,2026-05-07 06:32:54,missing weight
907666,7002282,5065,2026-05-07 06:28:55,1,125,ARRIVE,403.92,STD,2026-05-07 06:28:55,impossible weight
908197,7002454,5141,2026-05-07 11:17:22,99,110,FAILED,4.93,SDD,2026-05-07 11:17:22,unknown hub
908114,7002424,5175,2026-05-07 14:58:32,3,139,DEPART,,STD,2026-05-07 14:58:32,missing weight
907477,7002229,5104,2026-05-07 11:30:19,2,111,DELIVERED,495.83,STD,2026-05-07 11:30:19,impossible weight
908466,7002527,5199,2026-05-07 07:22:48,6,123,ARRIVE,,SDD,2026-05-07 07:22:48,missing weight
908358,7002498,5075,2026-05-07 13:33:10,8,,PICKUP,,EXP,2026-05-07 13:33:10,missing weight
907544,7002250,5064,2026-05-07 20:08:32,8,132,FAILED,,ECO,2026-05-07 20:08:32,missing weight
907650,7002277,5046,2026-05-07 12:28:35,4,107,ARRIVE,,STD,2026-05-07 12:28:35,missing weight
908011,7002389,5080,2026-05-07 13:33:21,99,119,DEPART,20.29,ECO,2026-05-07 13:33:21,unknown hub
908010,7002389,5047,07/05/2026 15:33,7,101,FAILED,,ECO,2026-05-07 15:33:00,missing weight
908068,7002411,5024,2026-05-07 16:08:18,99,119,OUT_FOR_DELIVERY,1.86,ECO,2026-05-07 16:08:18,unknown hub
908023,7002391,5179,2026-05-07 20:00:51,99,129,ARRIVE,46.57,ECO,2026-05-07 20:00:51,unknown hub
907602,7002262,5111,2026-05-07 21:09:16,99,121,DELIVERED,3.29,STD,2026-05-07 21:09:16,unknown hub
907999,7002384,5159,2026-05-07 21:10:22,9,108,DELIVERED,,SDD,2026-05-07 21:10:22,missing weight
907522,7002244,5148,2026-05-07 09:54:36,2,113,FAILED,620.69,SDD,2026-05-07 09:54:36,impossible weight
907722,7002298,5051,2026-05-07 16:15:15,4,130,PICKUP,,STD,2026-05-07 16:15:15,missing weight
908308,7002488,5135,2026-05-07 19:59:58,5,114,PICKUP,624.67,ECO,2026-05-07 19:59:58,impossible weight
907798,7002326,5114,2026-05-07 18:06:19,2,127,DEPART,435.88,STD,2026-05-07 18:06:19,impossible weight
907583,7002258,5102,2026-05-07 10:56:16,1,140,DELIVERED,612.3,SDD,2026-05-07 10:56:16,impossible weight
907446,7002219,5122,07/05/2026 09:30,1,102,ARRIVE,,ECO,2026-05-07 09:30:00,missing weight
908115,7002424,5103,2026-05-07 18:37:10,10,108,OUT_FOR_DELIVERY,,EXP,2026-05-07 18:37:10,missing weight
