scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight_kg,service_code,parsed_scanned_at,reject_reason
908962,7002672,5058,2026-05-08 21:42:01,6,111,FAILED,,EXP,2026-05-08 21:42:01,missing weight
909472,7002822,5051,2026-05-08 16:20:24,99,131,ARRIVE,10.53,EXP,2026-05-08 16:20:24,unknown hub
909041,7002700,5030,2026-05-08 06:28:14,7,122,PICKUP,687.56,EXP,2026-05-08 06:28:14,impossible weight
908746,7002604,5195,2026-05-08 13:16:16,4,108,OUT_FOR_DELIVERY,730.86,ECO,2026-05-08 13:16:16,impossible weight
909284,7002768,5168,2026-05-08 20:53:02,99,118,PICKUP,43.96,ECO,2026-05-08 20:53:02,unknown hub
909216,7002755,5020,2026-05-08 18:58:24,7,125,FAILED,,EXP,2026-05-08 18:58:24,missing weight
908945,7002667,5185,2026-05-08 15:55:35,10,108,OUT_FOR_DELIVERY,,SDD,2026-05-08 15:55:35,missing weight
909620,7002860,5006,2026-05-08 19:07:49,99,109,OUT_FOR_DELIVERY,36.66,ECO,2026-05-08 19:07:49,unknown hub
908714,7002593,5041,08/05/2026 14:00,2,136,FAILED,,ECO,2026-05-08 14:00:00,missing weight
908730,7002598,5114,08/05/2026 14:33,99,121,DEPART,19.59,EXP,2026-05-08 14:33:00,unknown hub
909218,7002756,5093,2026-05-08 21:42:19,2,126,DELIVERED,645.98,ECO,2026-05-08 21:42:19,impossible weight
909407,7002801,5035,2026-05-08 16:56:45,1,138,DELIVERED,,EXP,2026-05-08 16:56:45,missing weight
909016,7002690,5118,2026-05-08 14:58:54,9,111,ARRIVE,,STD,2026-05-08 14:58:54,missing weight
908731,7002598,5103,2026-05-08 18:42:26,8,111,OUT_FOR_DELIVERY,,EXP,2026-05-08 18:42:26,missing weight
908682,7002584,5067,08/05/2026 06:53,99,105,OUT_FOR_DELIVERY,2.3,ECO,2026-05-08 06:53:00,unknown hub
909654,7002871,5190,2026-05-08 15:02:03,99,125,ARRIVE,39.29,STD,2026-05-08 15:02:03,unknown hub
909638,7002866,5176,2026-05-08 08:20:20,99,139,FAILED,6.89,SDD,2026-05-08 08:20:20,unknown hub
909042,7002700,5080,2026-05-08 15:35:13,6,117,FAILED,,STD,2026-05-08 15:35:13,missing weight
909039,7002699,5192,2026-05-08 14:48:35,99,133,FAILED,19.68,EXP,2026-05-08 14:48:35,unknown hub
908750,7002605,5027,2026-05-08 10:25:34,99,,OUT_FOR_DELIVERY,39.13,ECO,2026-05-08 10:25:34,unknown hub
909247,7002760,5103,2026-05-08 17:19:49,99,129,PICKUP,36.9,SDD,2026-05-08 17:19:49,unknown hub
909043,7002701,5193,2026-05-08 19:13:23,99,102,OUT_FOR_DELIVERY,24.29,ECO,2026-05-08 19:13:23,unknown hub
908591,7002560,5004,2026-05-08 09:08:08,1,123,FAILED,456.51,SDD,2026-05-08 09:08:08,impossible weight
908661,7002577,5185,2026-05-08 16:02:58,8,136,ARRIVE,481.04,EXP,2026-05-08 16:02:58,impossible weight
909577,7002848,5055,2026-05-08 07:29:00,9,138,FAILED,,STD,2026-05-08 07:29:00,missing weight
909366,7002788,5036,2026-05-08 11:40:13,10,133,OUT_FOR_DELIVERY,,SDD,2026-05-08 11:40:13,missing weight
908605,7002562,5194,2026-05-08 13:40:15,7,114,ARRIVE,471.01,SDD,2026-05-08 13:40:15,impossible weight
909517,7002830,5108,2026-05-08 15:03:18,99,124,OUT_FOR_DELIVERY,37.84,SDD,2026-05-08 15:03:18,unknown hub
908607,7002562,5007,2026-05-08 19:17:35,8,123,DELIVERED,,SDD,2026-05-08 19:17:35,missing weight
909000,7002684,5144,2026-05-08 19:39:18,99,104,OUT_FOR_DELIVERY,31.3,ECO,2026-05-08 19:39:18,unknown hub
