scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight_kg,service_code,parsed_scanned_at,reject_reason
912700,7003780,5183,2026-05-12 18:01:38,4,124,DEPART,,STD,2026-05-12 18:01:38,missing weight
912680,7003774,5136,2026-05-12 14:45:27,4,125,ARRIVE,,SDD,2026-05-12 14:45:27,missing weight
912253,7003643,5111,2026-05-12 18:46:47,99,109,DELIVERED,22.22,SDD,2026-05-12 18:46:47,unknown hub
912426,7003704,5066,2026-05-12 10:02:27,99,115,DEPART,31.07,EXP,2026-05-12 10:02:27,unknown hub
912989,7003865,5034,2026-05-12 17:05:18,5,109,FAILED,801.39,STD,2026-05-12 17:05:18,impossible weight
912396,7003694,5161,2026-05-12 13:20:41,4,119,PICKUP,331.8,SDD,2026-05-12 13:20:41,impossible weight
912470,7003718,5032,2026-05-12 06:16:34,9,,DEPART,381.41,SDD,2026-05-12 06:16:34,impossible weight
912936,7003849,5074,2026-05-12 18:46:59,6,122,FAILED,,STD,2026-05-12 18:46:59,missing weight
913297,7003955,5084,2026-05-12 06:29:20,3,131,PICKUP,,ECO,2026-05-12 06:29:20,missing weight
912650,7003770,5176,2026-05-12 10:01:31,99,113,DELIVERED,32.89,SDD,2026-05-12 10:01:31,unknown hub
912847,7003818,5198,2026-05-12 12:00:04,7,113,ARRIVE,539.59,EXP,2026-05-12 12:00:04,impossible weight
912750,7003795,5094,12/05/2026 10:25,99,133,DELIVERED,43.73,EXP,2026-05-12 10:25:00,unknown hub
912407,7003697,5010,2026-05-12 13:25:42,4,111,FAILED,,ECO,2026-05-12 13:25:42,missing weight
912896,7003835,5101,12/05/2026 07:28,3,133,PICKUP,,SDD,2026-05-12 07:28:00,missing weight
912237,7003637,5197,2026-05-12 08:46:54,8,122,FAILED,,SDD,2026-05-12 08:46:54,missing weight
912822,7003810,5129,2026-05-12 10:23:37,99,130,FAILED,23.39,ECO,2026-05-12 10:23:37,unknown hub
912527,7003731,5030,2026-05-12 10:35:12,5,109,FAILED,674.74,ECO,2026-05-12 10:35:12,impossible weight
912961,7003855,5144,2026-05-12 21:48:06,4,123,ARRIVE,,EXP,2026-05-12 21:48:06,missing weight
912400,7003695,5012,2026-05-12 06:32:10,3,125,PICKUP,,STD,2026-05-12 06:32:10,missing weight
912467,7003717,5033,2026-05-12 20:51:04,2,102,DELIVERED,,ECO,2026-05-12 20:51:04,missing weight
912691,7003776,5141,2026-05-12 20:55:47,8,109,DELIVERED,360.06,ECO,2026-05-12 20:55:47,impossible weight
912620,7003758,5050,2026-05-12 17:09:04,6,126,DEPART,,STD,2026-05-12 17:09:04,missing weight
912387,7003691,5077,2026-05-12 06:43:23,99,134,DEPART,30.09,EXP,2026-05-12 06:43:23,unknown hub
913134,7003900,5178,2026-05-12 18:37:47,4,125,ARRIVE,551.81,SDD,2026-05-12 18:37:47,impossible weight
912588,7003749,5080,2026-05-12 11:42:01,2,123,ARRIVE,,SDD,2026-05-12 11:42:01,missing weight
912698,7003779,5173,2026-05-12 17:40:38,99,120,OUT_FOR_DELIVERY,28.44,SDD,2026-05-12 17:40:38,unknown hub
912686,7003776,5052,2026-05-12 15:24:22,2,114,PICKUP,,ECO,2026-05-12 15:24:22,missing weight
912931,7003846,5082,2026-05-12 09:12:44,3,105,OUT_FOR_DELIVERY,,EXP,2026-05-12 09:12:44,missing weight
912845,7003817,5083,2026-05-12 08:56:47,9,,OUT_FOR_DELIVERY,826.68,ECO,2026-05-12 08:56:47,impossible weight
913245,7003937,5113,2026-05-12 10:25:02,99,133,FAILED,22.55,ECO,2026-05-12 10:25:02,unknown hub
