scan_id,parcel_id,customer_id,scanned_at,hub_id,courier_id,scan_type,weight_kg,service_code,parsed_scanned_at,reject_reason
910991,7003265,5147,2026-05-11 07:51:47,4,129,ARRIVE,,STD,2026-05-11 07:51:47,missing weight
911164,7003313,5026,2026-05-11 19:02:46,9,135,OUT_FOR_DELIVERY,,STD,2026-05-11 19:02:46,missing weight
911261,7003338,5048,2026-05-11 12:25:10,6,107,ARRIVE,,STD,2026-05-11 12:25:10,missing weight
911089,7003294,5041,2026-05-11 07:33:21,1,114,ARRIVE,468.28,ECO,2026-05-11 07:33:21,impossible weight
910993,7003266,5057,2026-05-11 10:01:13,6,110,PICKUP,767.43,SDD,2026-05-11 10:01:13,impossible weight
911967,7003569,5006,2026-05-11 11:52:55,7,102,DEPART,,EXP,2026-05-11 11:52:55,missing weight
911237,7003332,5134,2026-05-11 18:29:05,99,135,DELIVERED,5.31,ECO,2026-05-11 18:29:05,unknown hub
911999,7003573,5018,2026-05-11 21:53:07,2,134,ARRIVE,743.21,ECO,2026-05-11 21:53:07,impossible weight
911631,7003463,5128,2026-05-11 17:49:04,10,108,PICKUP,818.34,ECO,2026-05-11 17:49:04,impossible weight
912024,7003577,5184,2026-05-11 08:48:56,8,102,OUT_FOR_DELIVERY,851.92,STD,2026-05-11 08:48:56,impossible weight
912148,7003609,5139,2026-05-11 19:10:22,99,128,OUT_FOR_DELIVERY,"24,96",EXP,2026-05-11 19:10:22,unknown hub
911773,7003503,5009,2026-05-11 14:31:22,99,105,PICKUP,18.15,ECO,2026-05-11 14:31:22,unknown hub
911486,7003416,5068,2026-05-11 07:39:23,7,140,PICKUP,,ECO,2026-05-11 07:39:23,missing weight
911221,7003329,5124,2026-05-11 19:38:25,1,135,ARRIVE,,EXP,2026-05-11 19:38:25,missing weight
911691,7003477,5153,2026-05-11 13:42:49,7,126,DELIVERED,,ECO,2026-05-11 13:42:49,missing weight
911526,7003423,5136,11/05/2026 21:00,9,136,FAILED,,SDD,2026-05-11 21:00:00,missing weight
911050,7003280,5144,2026-05-11 08:46:25,10,135,PICKUP,556.03,EXP,2026-05-11 08:46:25,impossible weight
911488,7003416,5172,2026-05-11 15:33:12,99,105,OUT_FOR_DELIVERY,"16,2",SDD,2026-05-11 15:33:12,unknown hub
911914,7003552,5115,2026-05-11 11:24:14,1,116,ARRIVE,683.88,SDD,2026-05-11 11:24:14,impossible weight
912011,7003575,5151,2026-05-11 10:52:43,6,128,FAILED,,ECO,2026-05-11 10:52:43,missing weight
911497,7003418,5079,2026-05-11 07:28:45,3,105,OUT_FOR_DELIVERY,,SDD,2026-05-11 07:28:45,missing weight
911838,7003521,5019,2026-05-11 09:56:35,99,139,PICKUP,42.52,EXP,2026-05-11 09:56:35,unknown hub
912129,7003601,5103,2026-05-11 09:10:56,3,136,OUT_FOR_DELIVERY,561.74,STD,2026-05-11 09:10:56,impossible weight
911656,7003469,5059,2026-05-11 09:50:38,99,140,PICKUP,"0,73",SDD,2026-05-11 09:50:38,unknown hub
911459,7003405,5138,2026-05-11 11:24:07,99,126,OUT_FOR_DELIVERY,47.29,STD,2026-05-11 11:24:07,unknown hub
912033,7003580,5023,2026-05-11 06:04:21,99,111,ARRIVE,34.5,EXP,2026-05-11 06:04:21,unknown hub
911025,7003277,5165,2026-05-11 06:37:34,9,135,ARRIVE,634.42,SDD,2026-05-11 06:37:34,impossible weight
911265,7003340,5158,2026-05-11 16:29:02,5,105,DELIVERED,,EXP,2026-05-11 16:29:02,missing weight
911380,7003379,5120,2026-05-11 09:17:25,99,140,FAILED,47.71,STD,2026-05-11 09:17:25,unknown hub
911745,7003496,5047,2026-05-11 20:43:43,5,112,FAILED,,SDD,2026-05-11 20:43:43,missing weight
911156,7003310,5145,2026-05-11 16:59:25,99,104,DELIVERED,47.36,STD,2026-05-11 16:59:25,unknown hub
911567,7003439,5150,2026-05-11 08:56:38,99,135,PICKUP,6.5,ECO,2026-05-11 08:56:38,unknown hub
911413,7003390,5011,11/05/2026 11:32,5,128,DEPART,,ECO,2026-05-11 11:32:00,missing weight
911392,7003383,5053,2026-05-11 17:08:26,4,138,DELIVERED,,SDD,2026-05-11 17:08:26,missing weight
